mode,limit,depth,movetime_ms,clock,index,fen,base_best,cand_best,bestmove_changed,base_depth,cand_depth,base_score_cp,cand_score_cp,score_delta_cp,base_nodes,cand_nodes,node_delta,node_delta_pct,base_time_ms,cand_time_ms,time_delta_ms,time_delta_pct,base_qnode_pct,cand_qnode_pct,base_lmp,cand_lmp,base_futility,cand_futility,base_pvs_research,cand_pvs_research,base_oracle_rank,cand_oracle_rank,base_oracle_loss_cp,cand_oracle_loss_cp,oracle_loss_delta_cp
clock,wtime=1000 btime=1000 winc=10 binc=10,,,wtime=1000 btime=1000 winc=10 binc=10,1,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,e2e4,e2e4,0,7,7,23,23,0,15450,15450,0,0.00,75,80,5,6.67,32,32,1941,1941,655,655,42,42,,,,,
clock,wtime=1000 btime=1000 winc=10 binc=10,,,wtime=1000 btime=1000 winc=10 binc=10,2,rnbqkbnr/pppppppp/8/8/4P3/8/PPPP1PPP/RNBQKBNR b KQkq e3 0 1,e7e6,e7e6,0,7,7,-19,-19,0,14561,14561,0,0.00,70,70,0,0.00,32,32,1122,1122,549,549,78,78,,,,,
clock,wtime=1000 btime=1000 winc=10 binc=10,,,wtime=1000 btime=1000 winc=10 binc=10,3,rnbqkbnr/pppp1ppp/8/4p3/4P3/8/PPPP1PPP/RNBQKBNR w KQkq e6 0 2,g1f3,g1f3,0,5,5,38,38,0,8635,8635,0,0.00,36,36,0,0.00,37,37,219,219,186,186,33,33,,,,,
clock,wtime=1000 btime=1000 winc=10 binc=10,,,wtime=1000 btime=1000 winc=10 binc=10,4,r1bqkbnr/pppp1ppp/2n5/4p3/4P3/5N2/PPPP1PPP/RNBQKB1R w KQkq - 2 3,f1b5,f1b5,0,6,6,41,41,0,10281,10281,0,0.00,55,55,0,0.00,31,31,460,460,1060,1060,34,34,,,,,
clock,wtime=1000 btime=1000 winc=10 binc=10,,,wtime=1000 btime=1000 winc=10 binc=10,5,rnbqkbnr/pppp1ppp/8/4p3/2P5/8/PP1PPPPP/RNBQKBNR w KQkq - 0 2,b1c3,b1c3,0,7,7,21,21,0,14487,14487,0,0.00,75,74,-1,-1.33,33,33,1301,1301,412,412,98,98,,,,,
clock,wtime=1000 btime=1000 winc=10 binc=10,,,wtime=1000 btime=1000 winc=10 binc=10,6,rnbqkbnr/pp1ppppp/8/2p5/4P3/8/PPPP1PPP/RNBQKBNR w KQkq - 0 2,g1f3,g1f3,0,5,5,31,31,0,8364,8364,0,0.00,34,34,0,0.00,36,36,323,323,27,27,30,30,,,,,
clock,wtime=1000 btime=1000 winc=10 binc=10,,,wtime=1000 btime=1000 winc=10 binc=10,7,r1bqkbnr/pp1ppppp/2n5/1Bp5/4P3/8/PPPP1PPP/RNBQK1NR w KQkq - 2 3,g1f3,g1f3,0,5,5,42,42,0,8401,8401,0,0.00,44,44,0,0.00,35,35,99,99,85,85,14,14,,,,,
clock,wtime=1000 btime=1000 winc=10 binc=10,,,wtime=1000 btime=1000 winc=10 binc=10,8,rnbqkbnr/pppppppp/8/8/3P4/8/PPP1PPPP/RNBQKBNR b KQkq d3 0 1,d7d5,d7d5,0,6,5,-12,-5,7,11716,4633,-7083,-60.46,63,21,-42,-66.67,32,36,1907,405,133,23,60,42,,,,,
clock,wtime=1000 btime=1000 winc=10 binc=10,,,wtime=1000 btime=1000 winc=10 binc=10,9,rnb2rk1/ppppqppp/5n2/4p1B1/1b1PP3/5N2/PPP2PPP/RN1QKB1R w KQ - 4 6,c2c3,c2c3,0,9,9,96,96,0,28146,28146,0,0.00,181,188,7,3.87,36,36,3213,3213,2595,2595,127,127,,,,,
clock,wtime=1000 btime=1000 winc=10 binc=10,,,wtime=1000 btime=1000 winc=10 binc=10,10,rnbqkb1r/pppp1ppp/7n/4p3/2B1P3/5N2/PPPP1PPP/RNBQK2R w KQkq - 3 3,d2d4,d2d4,0,7,7,159,159,0,51076,51076,0,0.00,270,273,3,1.11,35,35,4190,4190,1638,1638,131,131,,,,,
